,question,answer,context
2320,How can I ensure that all transactions made through my Openbank account are securely linked to a specific biometric identifier without compromising privacy or security measures?,"To ensure that all transactions made through your Openbank account are securely linked to a specific biometric identifier without compromising privacy or security measures, you should enable fingerprint or facial recognition biometrics on your trusted mobile device. This provides an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an Apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics.","**Add, remove biometrics: Apple Face ID, Touch ID, Android fingerprint ID** A trusted mobile device is required, biometrics are strongly recommended. Openbank strongly recommends enabling fingerprint or facial recognition biometrics, as it provides you with an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2342,"I received a notification that my payment for XYZ Corp was successfully processed at 12:45 PM on March 10, 2023, but I do not see any corresponding entry in my transaction history or account statement for this date.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
2343,Can I update my address online if I am located in a specific region of the world that observes daylight saving time adjustments throughout the year?,"Yes, you can update your address online by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then selecting Personal details and Update address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2359,Is it possible to update your address online using a third-party service or application that complies with our company's policies and procedures?,"Yes, you can update your address online by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then selecting Personal details and Update address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2360,"I received a notice stating that my payment for XYZ Corp was successfully processed at 12:45 AM on February 28, 2023, but I do not see any corresponding entry in my account dashboard or transaction history.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2366,"I received an email stating that my payment for XYZ Corp was successfully processed at 2:15 PM on February 20, 2023, but I do not see any corresponding entry in my account dashboard or transaction history.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2371,"Is it possible to update your address online if you reside in a country with a specific time zone, like Australia or New Zealand at midnight their local time?","Yes, you can update your address online by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then selecting Personal details and Update address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2373,"Are there any specific policies in place regarding updating your address online if you are located outside of the United States, such as Canada or Mexico at midnight their local time?","To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address."
2375,"I received a notice stating that my payment for MNO Corp was successfully processed at 9:30 AM on February 20, 2023, but I do not see any corresponding entry in my account dashboard or transaction history.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2376,"Can I change my mailing address online if you are located in a country with strict data privacy regulations, such as Brazil or South Korea at midnight their local time on Wednesdays?","To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2378,Can I submit an address update request online during the summer months from June to August without any restrictions?,"Yes, you can submit an address update request online by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then selecting Personal details and Update address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2379,"I received a notice stating that my payment for XYZ Corp was successfully processed at 11:45 AM on March 12, 2023, but I do not see any corresponding entry in my account dashboard or transaction history.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2381,"I received a notification stating that my payment for XYZ Corp was successfully processed at 9:30 AM on February 20, 2023, but I do not see any corresponding entry in my transaction history or account statement for this date.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2382,Can I update my contact information online without incurring any fees or charges associated with the process on Wednesdays after 3 PM Eastern Time?,"Yes, you can update your contact information online by signing into the app on your trusted mobile device and selecting the red button that says Personal info. From there, you can update your email address, mobile phone number, and address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2388,Can I update my new address online within 24 hours after moving to a different city?,"Yes, you can update your address online within 24 hours after moving to a different city by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then Personal details, and finally Update address. The new address must be a valid residential address in the U.S.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address."
2390,Can I update my contact information online without incurring any additional fees associated with the process if you reside in a country with strict privacy laws like Brazil at any time of day without prior notice?,"Yes, you can update your contact information online without incurring any additional fees associated with the process.","**Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device. **Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
2394,Can I submit an address update request online after completing all required background checks and screenings for employees in our company's database during business hours from Monday to Friday between 9 AM and 5 PM Eastern Time?,"Yes, you can submit an address update request online by signing into the Openbank app on your trusted mobile device, selecting the red button that says Personal info, then selecting Personal details and Update address.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2400,"Are there any special considerations for updating your address online if you are located in a country that observes different time zones, such as Russia or China at midnight their local time on Fridays?","To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2401,"I received an email stating that my payment for XYZ Corp was successfully processed at 2:15 PM on February 20, 2023, but I do not see any corresponding entry in my account dashboard or transaction history.","To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
2416,"Can I change my mailing address online by providing proof of residency when submitting an update request during periods of high demand for customer support, such as Black Friday and Cyber Monday on November 23rd and 24th each year if you reside in a country with strict immigration laws like Mexico at midnight their local time on Thursdays?","To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S.","**Update address** To change your address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update address. The new address must be a valid residential address in the U.S. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking."
2482,"What steps should I follow to retrieve my forgotten login details for a joint account held with XYZ Bank on March 15, 2023?","To retrieve your forgotten login details, use the Forgot user ID or Forgot password links on the sign in screen, and then follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID.","**Login problem: Forgot user ID, forgot password, account locked** To sign in to your Openbank high yield savings account, you'll need the user ID and password you created when you first signed up. If you can't remember them, use the Forgot user ID or Forgot password links on the sign in screen, and then follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID. **Update email address** To change your email address, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update email address. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
2522,I need guidance on resetting my forgotten login details for a joint savings account held at OOO Bank after both usernames and passwords were reset due to suspected unauthorized access attempts reported by the company's fraud detection system in February 2024.,"To reset your forgotten login details for a joint savings account, you'll need to use the Forgot user ID or Forgot password links on the sign in screen and follow the directions provided. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID.","**Login problem: Forgot user ID, forgot password, account locked** To sign in to your Openbank high yield savings account, you'll need the user ID and password you created when you first signed up. If you can't remember them, use the Forgot user ID or Forgot password links on the sign in screen, and then follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2531,"I need guidance on how to reset my login information for a joint account with STU Bank after forgetting both username and password following a mandatory system upgrade on November 30, 2022.","To reset your login information for a joint account, you'll need to follow the same process as for an individual account. If you can't remember your user ID or password, use the Forgot user ID or Forgot password links on the sign in screen and follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID.","**Login problem: Forgot user ID, forgot password, account locked** To sign in to your Openbank high yield savings account, you'll need the user ID and password you created when you first signed up. If you can't remember them, use the Forgot user ID or Forgot password links on the sign in screen, and then follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
2533,"I need assistance in resetting my password for a joint savings account held at BBB Bank after losing access to the associated email address due to spam filtering rules introduced on March 10, 2023.","To reset your password, use the Forgot password link on the sign in screen and follow the directions.","**Login problem: Forgot user ID, forgot password, account locked** To sign in to your Openbank high yield savings account, you'll need the user ID and password you created when you first signed up. If you can't remember them, use the Forgot user ID or Forgot password links on the sign in screen, and then follow the directions. If your account is locked due to multiple failed login attempts, please say 'speak to agent' or press 0. You cannot change your user ID. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. **Update mobile phone number** To change your mobile phone number, sign into the app on your trusted mobile device, then select the red button that says Personal info. On the next screen, select Personal details, then Update mobile phone number. If the phone number associated with your high yield savings account is the number for your trusted mobile device, you'll immediately be signed out. Then, the next time you sign in, you'll be prompted to follow directions to set up a new trusted mobile device."
